timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1689731942147,3199,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-11,text,true,,918,817,100,100,http://trans.icheckstage.com/,3196,0,142
1689731942167,3289,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-16,text,false,,694,817,100,100,http://trans.icheckstage.com/,3289,0,144
1689731942706,2781,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-70,text,true,,918,817,99,99,http://trans.icheckstage.com/,2781,0,79
1689731942246,3283,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-24,text,false,,694,817,98,98,http://trans.icheckstage.com/,3283,0,81
1689731942625,3024,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-62,text,false,,694,817,97,97,http://trans.icheckstage.com/,3024,0,76
1689731942147,3858,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-5,text,false,,694,817,96,96,http://trans.icheckstage.com/,3858,0,163
1689731945360,646,VerifyRoutingNumber - Success,500,Internal Server Error,ROUTING_NUMBER 1-11,text,false,,694,859,96,96,http://trans.icheckstage.com/,646,0,0
1689731942756,3252,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-75,text,false,,694,817,94,94,http://trans.icheckstage.com/,3252,0,81
1689731942576,3432,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-57,text,false,,694,817,94,94,http://trans.icheckstage.com/,3432,0,77
1689731942396,3612,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-39,text,false,,694,817,94,94,http://trans.icheckstage.com/,3612,0,77
1689731942606,3440,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-60,text,false,,694,817,91,91,http://trans.icheckstage.com/,3440,0,85
1689731942616,3430,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-61,text,false,,694,817,91,91,http://trans.icheckstage.com/,3430,0,75
1689731942594,3454,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-59,text,false,,694,817,89,89,http://trans.icheckstage.com/,3454,0,83
1689731942696,3352,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-69,text,false,,694,817,89,89,http://trans.icheckstage.com/,3352,0,76
1689731942235,3846,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-23,text,false,,694,817,87,87,http://trans.icheckstage.com/,3846,0,76
1689731942255,3866,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-25,text,true,,918,817,86,86,http://trans.icheckstage.com/,3866,0,72
1689731942475,3646,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-47,text,false,,694,817,86,86,http://trans.icheckstage.com/,3646,0,82
1689731942357,3809,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-35,text,false,,694,817,84,84,http://trans.icheckstage.com/,3809,0,78
1689731942816,3384,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-81,text,false,,694,817,83,83,http://trans.icheckstage.com/,3384,0,78
1689731942834,3450,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-83,text,false,,694,817,82,82,http://trans.icheckstage.com/,3450,0,73
1689731942567,3717,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-56,text,false,,694,817,82,82,http://trans.icheckstage.com/,3717,0,86
1689731942446,3881,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-44,text,false,,694,817,80,80,http://trans.icheckstage.com/,3881,0,79
1689731942716,3729,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-71,text,false,,694,817,79,79,http://trans.icheckstage.com/,3729,0,78
1689731942769,3676,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-76,text,false,,694,817,79,79,http://trans.icheckstage.com/,3676,0,75
1689731942746,3699,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-74,text,false,,694,817,79,79,http://trans.icheckstage.com/,3699,0,77
1689731942436,4212,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-43,text,false,,694,817,76,76,http://trans.icheckstage.com/,4212,0,79
1689731942415,4271,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-41,text,false,,694,817,75,75,http://trans.icheckstage.com/,4271,0,84
1689731942936,3828,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-93,text,false,,694,817,74,74,http://trans.icheckstage.com/,3828,0,78
1689731942865,3900,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-86,text,false,,694,817,74,74,http://trans.icheckstage.com/,3899,0,79
1689731942885,3880,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-88,text,false,,694,817,73,73,http://trans.icheckstage.com/,3880,0,79
1689731942895,3909,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-89,text,false,,694,817,71,71,http://trans.icheckstage.com/,3909,0,85
1689731942956,3848,VerifyRoutingNumber - Not Found,500,Internal Server Error,ROUTING_NUMBER 1-95,text,false,,694,817,71,71,http://trans.icheckstage.com/,3848,0,78
1689731942148,4657,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-14,text,true,,918,817,71,71,http://trans.icheckstage.com/,4657,0,134
