timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1689039388617,421,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-22,text,true,,957,815,82,82,http://trans.icheckdev.com/,417,0,205
1689039388599,439,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-15,text,true,,957,815,82,82,http://trans.icheckdev.com/,435,0,191
1689039388600,439,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-7,text,true,,957,815,82,82,http://trans.icheckdev.com/,435,0,223
1689039388638,400,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-25,text,true,,957,815,82,82,http://trans.icheckdev.com/,396,0,155
1689039388599,440,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-10,text,true,,957,815,82,82,http://trans.icheckdev.com/,436,0,226
1689039388632,419,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-24,text,true,,957,815,84,84,http://trans.icheckdev.com/,419,0,216
1689039388645,409,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-26,text,true,,957,815,84,84,http://trans.icheckdev.com/,409,0,208
1689039388600,464,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-1,text,true,,957,815,85,85,http://trans.icheckdev.com/,464,0,249
1689039388599,465,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-2,text,true,,957,815,85,85,http://trans.icheckdev.com/,465,0,244
1689039388599,478,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-6,text,true,,957,815,87,87,http://trans.icheckdev.com/,478,0,244
1689039388598,488,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-18,text,true,,957,815,89,89,http://trans.icheckdev.com/,488,0,258
1689039388598,488,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-17,text,true,,957,815,89,89,http://trans.icheckdev.com/,488,0,258
