timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1689039242689,276,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-14,text,true,,957,815,41,41,http://trans.icheckdev.com/,273,0,154
1689039242674,307,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-1,text,true,,957,815,43,43,http://trans.icheckdev.com/,307,0,173
1689039242673,343,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-6,text,true,,957,815,47,47,http://trans.icheckdev.com/,343,0,169
1689039242675,355,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-11,text,true,,957,815,48,48,http://trans.icheckdev.com/,355,0,182
1689039242673,363,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-4,text,true,,957,815,49,49,http://trans.icheckdev.com/,363,0,176
1689039242758,279,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-21,text,true,,957,815,49,49,http://trans.icheckdev.com/,279,0,92
1689039242719,328,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-17,text,true,,957,815,49,49,http://trans.icheckdev.com/,328,0,138
1689039242737,310,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-19,text,true,,957,815,49,49,http://trans.icheckdev.com/,310,0,123
1689039242675,373,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-2,text,true,,957,815,50,50,http://trans.icheckdev.com/,373,0,181
1689039242674,394,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-3,text,true,,957,815,52,52,http://trans.icheckdev.com/,394,0,196
1689039242673,397,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-5,text,true,,957,815,52,52,http://trans.icheckdev.com/,397,0,189
1689039242697,378,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-15,text,true,,957,815,52,52,http://trans.icheckdev.com/,378,0,170
1689039242675,410,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-10,text,true,,957,815,53,53,http://trans.icheckdev.com/,410,0,188
1689039242678,407,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-13,text,true,,957,815,53,53,http://trans.icheckdev.com/,407,0,159
1689039242673,415,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-8,text,true,,957,815,54,54,http://trans.icheckdev.com/,415,0,172
1689039242675,419,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-9,text,true,,957,815,54,54,http://trans.icheckdev.com/,419,0,162
1689039242707,393,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-16,text,true,,957,815,55,55,http://trans.icheckdev.com/,393,0,169
1689039242789,316,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-24,text,true,,957,815,55,55,http://trans.icheckdev.com/,316,0,87
1689039242748,365,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-20,text,true,,957,815,56,56,http://trans.icheckdev.com/,365,0,109
1689039242675,441,VerifyRoutingNumber - Not Found,200,OK,ROUTING_NUMBER 1-12,text,true,,957,815,57,57,http://trans.icheckdev.com/,441,0,192
